No.,Domain,Result,Your ISP,Your IP Address is IPv4
1,https://nbet11.win/,"/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000168683BAB48>, 'Connection to nbet11.win timed out. (connect timeout=5)'))",Viettel Group,115.78.231.117
2,https://388bet.me/,OK,Viettel Group,115.78.231.117
3,https://tinhte88.vip/,Not Found,Viettel Group,115.78.231.117
4,https://zbet.win,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
5,https://11bet.win,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
6,https://debet.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
7,https://mibet88.win,[WinError 10061] No connection could be made because the target machine actively refused it')),Viettel Group,115.78.231.117
8,https://fabet.info,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
9,https://ricbet.com/,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
10,https://sin88.com/,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
11,https://lucky88.live,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
12,https://8live.win,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
13,https://bong99.vip,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
14,https://388bet.us,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
15,https://one88.me,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
16,https://five88.biz,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
17,https://lode88.us,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
18,https://may88.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
19,https://sv88.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
20,https://red88.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
21,https://oxbet.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
22,https://dabet.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
23,https://nbet.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
24,https://fcb8.com/,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
25,https://sky88.com,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
26,https://mu9.com/,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
27,https://bong99.vn/,OK,Viettel Group,115.78.231.117
28,https://lode88.biz/,OK,Viettel Group,115.78.231.117
29,https://lucky88.tv/,OK,Viettel Group,115.78.231.117
30,https://11bet.tv,[WinError 10061] No connection could be made because the target machine actively refused it')),Viettel Group,115.78.231.117
31,https://11bet.us,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
32,https://five88.me/,OK,Viettel Group,115.78.231.117
33,https://five88.co,Read timed out. (read timeout=5),Viettel Group,115.78.231.117
34,https://five88.mobi,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
35,https://five88.one,Read timed out. (read timeout=5),Viettel Group,115.78.231.117
36,https://five88.info,Read timed out. (read timeout=5),Viettel Group,115.78.231.117
37,https://five88.tv,Read timed out. (read timeout=5),Viettel Group,115.78.231.117
38,https://five88.net,[WinError 10061] No connection could be made because the target machine actively refused it')),Viettel Group,115.78.231.117
39,https://five88.win/,OK,Viettel Group,115.78.231.117
40,https://zbetvn.com/,OK,Viettel Group,115.78.231.117
41,https://zbet.fun/,Bad Gateway,Viettel Group,115.78.231.117
42,https://debet.vn,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
43,https://debet.top,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
44,https://debet.win/,Not Found,Viettel Group,115.78.231.117
45,https://r88.vn,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
46,https://fabet.us/,OK,Viettel Group,115.78.231.117
47,https://Fabet.me,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
48,https://Fabet.tv,[Errno 11001] getaddrinfo failed')),Viettel Group,115.78.231.117
49,https://fabet.biz/,OK,Viettel Group,115.78.231.117
50,https://Fabet.live,"/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000168694FF208>, 'Connection to fabet.live timed out. (connect timeout=5)'))",Viettel Group,115.78.231.117
51,https://www.viva24x7.com/index.html,OK,Viettel Group,115.78.231.117
52,https://www.viva88.net/index.html,OK,Viettel Group,115.78.231.117
53,https://v1.lode88.us/,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
54,https://www.viva24x7.com/index.html,OK,Viettel Group,115.78.231.117
55,https://www.viva88.net/index.html,OK,Viettel Group,115.78.231.117
56,https://v1.lode88.us/,self signed certificate (_ssl.c:1091)'))),Viettel Group,115.78.231.117
